"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교장(남)","교장(여)","교장(계)","교감(남)","교감(여)","교감(계)","수석교사(남)","수석교사(여)","수석교사(계)","정교사(1정)(남)","정교사(1정)(여)","정교사(1정)(계)","정교사(2정)(남)","정교사(2정)(여)","정교사(2정)(계)","특수1정(남)","특수1정(여)","특수1정(계)","특수2정(남)","특수2정(여)","특수2정(계)","준교사(남)","준교사(여)","준교사(계)","실기교사(남)","실기교사(여)","실기교사(계)","전문상담교사(남)","전문상담교사(여)","전문상담교사(계)","사서교사(남)","사서교사(여)","사서교사(계)","보건교사(남)","보건교사(여)","보건교사(계)","영양교사(남)","영양교사(여)","영양교사(계)","해당없음(남)","해당없음(여)","해당없음(계)","계(남)","계(여)","계"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000881","가평마장초등학교","02","공립","N","","0","1","1","2","0","2","0","0","0","1","4","5","1","1","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","4","8","12"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000882","가평초등학교","02","공립","N","","1","0","1","1","0","1","0","1","1","5","16","21","4","13","17","0","1","1","0","1","1","0","0","0","0","0","0","0","2","2","0","1","1","0","1","1","0","1","1","0","0","0","11","37","48"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000885","대성초등학교","02","공립","N","","0","1","1","1","0","1","0","0","0","2","5","7","0","1","1","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","4","9","13"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000890","목동초등학교","02","공립","N","","0","0","0","1","0","1","0","0","0","1","2","3","1","3","4","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","3","8","11"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000892","목동초등학교명지분교장","02","공립","N","","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000895","미원초등학교","02","공립","N","","0","1","1","1","0","1","0","0","0","2","9","11","2","5","7","0","0","0","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1","0","1","1","0","0","0","6","18","24"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000899","미원초등학교위곡분교장","02","공립","N","","0","0","0","0","0","0","0","0","0","2","2","4","1","1","2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","7"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000900","미원초등학교장락분교장","02","공립","N","","0","0","0","0","0","0","0","0","0","1","1","2","2","2","4","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","7"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000901","방일초등학교","02","공립","N","","0","1","1","1","0","1","0","0","0","1","4","5","1","1","2","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","3","9","12"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000905","상면초등학교","02","공립","N","","1","0","1","1","0","1","0","0","0","0","5","5","1","1","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","3","8","11"
