"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","동아리수","참여학생수","지도교사수","자원봉사 또는외부강사수","동아리활동 예산지원현황","동아리수","참여학생수","지도교사수","자원봉사 또는외부강사수","동아리활동 예산지원현황"
"경기도교육청","경기도교육청","경기도 가평군","S090000445","가평고등학교","04","공립","N","","41","567","47","1","19620000","6","69","6","2","11160000"
"경기도교육청","경기도교육청","경기도 수원시 장안구","S090000447","경기과학고등학교","04","공립","N","","27","379","75","0","8485000","37","658","49","0","9100000"
"경기도교육청","경기도교육청","경기도 수원시 권선구","S090000448","경기대명고등학교","04","공립","N","","12","57","12","0","1000000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 수원시 장안구","S090000449","경기체육고등학교","04","공립","N","","28","484","28","0","0","5","27","5","0","0"
"경기도교육청","경기도교육청","경기도 이천시","S090000450","이천세무고등학교","04","공립","N","","15","142","15","0","2000000","9","86","9","0","1600000"
"경기도교육청","경기도교육청","경기도 의정부시","S090000451","경민고등학교","04","사립","N","","46","719","51","0","22500000","10","87","10","0","0"
"경기도교육청","경기도교육청","경기도 의정부시","S090000453","경민비즈니스고등학교","04","사립","N","","46","487","50","0","4000000","3","50","3","0","2000000"
"경기도교육청","경기도교육청","경기도 의정부시","S090000455","경민IT고등학교","04","사립","N","","45","532","45","3","33960000","25","261","26","1","34140000"
"경기도교육청","경기도교육청","경기도 안산시 단원구","S090000457","경안고등학교","04","사립","N","","74","960","76","0","0","23","125","23","0","0"
"경기도교육청","경기도교육청","경기도 안산시 단원구","S090000458","경일관광경영고등학교","04","사립","N","","36","731","36","0","2558320","72","544","72","0","5100000"
"경기도교육청","경기도교육청","경기도 광주시","S090000460","경화여자고등학교","04","사립","N","","48","915","51","1","4730000","61","216","101","0","0"
"경기도교육청","경기도교육청","경기도 부천시 원미구","S090000463","계남고등학교","04","공립","N","","54","658","54","1","7000000","15","96","15","0","0"
"경기도교육청","경기도교육청","경기도 성남시 분당구","S090000466","계원예술고등학교","04","사립","N","","55","840","71","0","4440000","14","452","14","0","4440000"
"경기도교육청","경기도교육청","경기도 고양시 일산서구","S090000468","백송고등학교","04","사립","N","","26","361","28","0","1000000","6","53","6","0","0"
"경기도교육청","경기도교육청","경기도 고양시 덕양구","S090000469","고양외국어고등학교","04","사립","N","","32","710","33","0","3000000","3","50","3","0","0"
"경기도교육청","경기도교육청","경기도 고양시 덕양구","S090000470","고양고등학교","04","공립","N","","48","503","52","0","8750000","6","63","6","0","2000000"
"경기도교육청","경기도교육청","경기도 안산시 단원구","S090000471","고잔고등학교","04","공립","N","","63","873","63","0","5000000","18","114","18","0","0"
"경기도교육청","경기도교육청","경기도 과천시","S090000472","과천고등학교","04","공립","N","","36","576","45","4","14420000","10","35","10","0","0"
"경기도교육청","경기도교육청","경기도 과천시","S090000473","과천여자고등학교","04","사립","N","","23","367","23","0","15200000","1","5","1","0","0"
"경기도교육청","경기도교육청","경기도 과천시","S090000474","과천외국어고등학교","04","사립","N","","29","634","44","0","7000000","59","634","59","0","0"
"경기도교육청","경기도교육청","경기도 과천시","S090000475","과천중앙고등학교","04","공립","N","","31","529","36","0","7900000","13","83","13","0","0"
"경기도교육청","경기도교육청","경기도 안양시 동안구","S090000476","경기게임마이스터고등학교","04","공립","N","","24","141","24","6","9000000","5","72","5","0","0"
"경기도교육청","경기도교육청","경기도 안양시 동안구","S090000477","관양고등학교","04","공립","N","","49","924","55","0","19300000","9","50","9","0","0"
"경기도교육청","경기도교육청","경기도 포천시","S090000478","관인고등학교","04","공립","N","","8","79","10","0","5900000","4","20","4","0","800000"
"경기도교육청","경기도교육청","경기도 남양주시","S090000479","광동고등학교","04","사립","N","","71","1050","71","0","1500000","6","38","6","0","0"
"경기도교육청","경기도교육청","경기도 의정부시","S090000480","의정부광동고등학교","04","사립","N","","57","668","57","0","9600000","19","76","19","0","490000"
"경기도교육청","경기도교육청","경기도 광명시","S090000482","광명고등학교","04","공립","N","","49","878","55","1","5000000","8","27","8","1","800000"
"경기도교육청","경기도교육청","경기도 광명시","S090000483","경기항공고등학교","04","사립","N","","19","245","21","0","4100000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 광명시","S090000484","광명북고등학교","04","공립","N","","49","884","64","0","5650000","14","81","14","0","300000"
"경기도교육청","경기도교육청","경기도 광명시","S090000487","명문고등학교","04","공립","N","","53","866","63","2","3000000","8","45","8","0","0"
"경기도교육청","경기도교육청","경기도 광명시","S090000488","창의경영고등학교","04","공립","N","","47","357","60","0","3725000","9","77","9","0","3000000"
"경기도교육청","경기도교육청","경기도 광명시","S090000489","광문고등학교","04","공립","N","","56","817","65","0","7775000","6","31","6","0","0"
"경기도교육청","경기도교육청","경기도 광주시","S090000490","광주고등학교","04","공립","N","","55","814","55","0","6500000","10","59","10","0","0"
"경기도교육청","경기도교육청","경기도 광주시","S090000492","곤지암고등학교","04","공립","N","","39","375","39","4","6600000","10","70","10","0","400000"
"경기도교육청","경기도교육청","경기도 광주시","S090000493","광주중앙고등학교","04","공립","N","","61","1177","79","0","13975000","9","9","110","0","0"
"경기도교육청","경기도교육청","경기도 파주시","S090000494","광탄고등학교","04","사립","N","","24","277","26","0","3747000","9","93","9","0","0"
"경기도교육청","경기도교육청","경기도 구리시","S090000496","구리고등학교","04","공립","N","","36","593","48","0","11500000","11","47","11","0","0"
"경기도교육청","경기도교육청","경기도 구리시","S090000497","구리여자고등학교","04","공립","N","","38","587","48","0","12000000","3","16","3","0","0"
"경기도교육청","경기도교육청","경기도 시흥시","S090000499","군자디지털과학고등학교","04","공립","N","","44","371","52","0","3100000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 군포시","S090000502","군포고등학교","04","사립","N","","49","847","49","1","20750000","4","50","4","1","2800000"
"경기도교육청","경기도교육청","경기도 군포시","S090000504","군포e비즈니스고등학교","04","공립","N","","41","480","50","11","19750000","2","15","2","0","0"
"경기도교육청","경기도교육청","경기도 수원시 권선구","S090000505","권선고등학교","04","공립","N","","70","976","71","0","5000000","22","139","22","4","0"
"경기도교육청","경기도교육청","경기도 안양시 만안구","S090000507","근명고등학교","04","사립","N","","44","646","49","2","28700000","3","51","3","0","2300000"
"경기도교육청","경기도교육청","경기도 남양주시","S090000508","금곡고등학교","04","공립","N","","69","810","69","5","3740000","6","48","6","0","240000"
"경기도교육청","경기도교육청","경기도 용인시 기흥구","S090000509","기흥고등학교","04","공립","N","","54","910","54","0","8115000","15","101","15","0","0"
"경기도교육청","경기도교육청","경기도 김포시","S090000510","김포고등학교","04","공립","N","","44","1006","54","0","6800000","8","34","8","0","0"
"경기도교육청","경기도교육청","경기도 김포시","S090000511","김포과학기술고등학교","04","공립","N","","43","552","46","6","20100000","11","74","11","0","0"
"경기도교육청","경기도교육청","경기도 성남시 분당구","S090000515","낙생고등학교","04","사립","N","","39","790","58","0","2650000","6","74","6","0","750000"
