"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","동아리수","참여학생수","지도교사수","자원봉사 또는외부강사수","동아리활동 예산지원현황","동아리수","참여학생수","지도교사수","자원봉사 또는외부강사수","동아리활동 예산지원현황"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000876","가평중학교","03","공립","N","","36","508","36","5","29825000","1","13","1","1","75000000"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000877","가평북중학교","03","공립","N","","8","65","5","4","9400000","5","40","5","0","1260000"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000878","설악중학교","03","공립","N","","15","190","15","3","27000000","1","15","1","0","0"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000879","조종중학교","03","공립","N","","20","236","20","7","1690000","8","101","9","1","7000000"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000880","청평중학교","03","공립","N","","28","394","28","7","22300000","0","0","0","0","0"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000944","가람중학교","03","공립","N","","15","273","15","0","2500000","9","152","9","0","1500000"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000946","고양중학교","03","공립","N","","33","566","33","0","1000000","14","147","14","0","1000000"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000947","능곡중학교","03","공립","N","","42","697","42","0","2990000","1","12","1","0","65000"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000948","대화중학교","03","공립","N","","42","507","42","7","2950000","14","91","14","0","400000"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000949","덕양중학교","03","공립","N","","6","127","6","2","1100000","17","161","17","0","1000000"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000950","무원중학교","03","공립","N","","31","536","31","0","4000000","14","201","14","0","2000000"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000951","발산중학교","03","공립","N","","50","870","50","3","800000","20","133","20","0","0"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000952","백마중학교","03","공립","N","","61","1074","61","4","1700000","15","92","15","0","400000"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000953","백석중학교","03","공립","N","","19","366","19","1","1500000","12","76","12","0","1500000"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000954","백신중학교","03","공립","N","","42","829","42","2","0","9","78","9","0","1350000"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000955","백양중학교","03","공립","N","","17","304","17","0","2300000","6","52","6","0","0"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000956","고양제일중학교","03","사립","N","","40","930","62","4","13000000","18","367","19","2","4500000"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000957","신능중학교","03","공립","N","","28","482","29","4","3400000","7","73","7","0","0"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000958","신일중학교","03","공립","N","","77","1616","77","2","12630000","20","112","20","0","0"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000959","오마중학교","03","공립","N","","55","1032","55","2","2410000","43","263","43","1","0"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000960","원당중학교","03","공립","N","","6","147","6","4","2400000","6","62","6","0","1500000"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000961","일산동중학교","03","공립","N","","54","1031","55","5","5900000","5","57","5","0","1000000"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000962","일산중학교","03","공립","N","","27","398","27","0","2600000","8","68","8","0","0"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000963","장성중학교","03","공립","N","","29","730","38","0","2690000","19","178","19","0","5310000"
