"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교장(남)","교장(여)","교장(휴직교원)","교장(계)","교감(남)","교감(여)","교감(휴직교원)","교감(계)","수석교사(남)","수석교사(여)","수석교사(휴직교원)","수석교사(계)","보직교사(남)","보직교사(여)","보직교사(휴직교원)","보직교사(계)","일반교사(남)","일반교사(여)","일반교사(휴직교원)","일반교사(계)","특수교사(남)","특수교사(여)","특수교사(휴직교원)","특수교사(계)","전문상담교사(남)","전문상담교사(여)","전문상담교사(휴직교원)","전문상담교사(계)","사서교사(남)","사서교사(여)","사서교사(휴직교원)","사서교사(계)","실기교사(남)","실기교사(여)","실기교사(휴직교원)","실기교사(계)","보건교사(남)","보건교사(여)","보건교사(휴직교원)","보건교사(계)","영양교사(남)","영양교사(여)","영양교사(휴직교원)","영양교사(계)","기간제교사(남)","기간제교사(여)","기간제교사(휴직교원)","기간제교사(계)","강사(남)","강사(여)","강사(휴직교원)","강사(계)","총계(남)","총계(여)","총계(휴직교원)","총계(계)","원어민강사(남)","원어민강사(여)","원어민강사(계)","휴직교원수"
"경기도교육청","경기도교육청","경기도 군포시","S090000745","용호고등학교","04","공립","N","","0","1","0","1","1","1","1","2","0","0","0","0","6","9","0","15","14","51","11","65","0","2","1","2","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","7","8","0","15","0","0","0","0","29","74","13","103","0","0","0","13"
"경기도교육청","경기도교육청","경기도 의왕시","S090000746","우성고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","9","2","0","11","17","15","2","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","8","16","0","24","0","0","0","0","36","34","2","70","0","0","0","2"
"경기도교육청","경기도교육청","경기도 안산시 단원구","S090000747","원곡고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","10","3","0","13","19","33","8","52","1","2","0","3","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","14","0","19","0","0","0","0","37","53","8","90","0","0","0","8"
"경기도교육청","경기도교육청","경기도 부천시 원미구","S090000748","원미고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","3","9","0","12","8","30","1","38","1","2","0","3","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","3","2","0","5","0","0","0","0","18","44","1","62","0","0","0","1"
"경기도교육청","경기도교육청","경기도 부천시 오정구","S090000749","원종고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","4","8","0","12","8","33","7","41","1","2","0","3","1","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","3","7","0","10","0","0","0","0","19","51","8","70","0","0","0","8"
"경기도교육청","경기도교육청","경기도 수원시 팔달구","S090000750","유신고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","12","0","0","12","40","9","3","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","10","0","22","0","1","0","1","66","20","3","86","0","1","1","3"
"경기도교육청","경기도교육청","경기도 파주시","S090000751","율곡고등학교","04","사립","N","","1","0","0","1","0","1","0","1","0","0","0","0","4","5","0","9","7","5","2","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","13","9","0","22","0","0","0","0","25","21","3","46","0","0","0","3"
"경기도교육청","경기도교육청","경기도 이천시","S090000753","율면고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","3","0","0","3","4","3","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","3","0","0","0","0","10","5","0","15","0","0","0","0"
"경기도교육청","경기도교육청","경기도 시흥시","S090000754","은행고등학교","04","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","7","5","0","12","6","43","7","49","1","2","1","3","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","6","11","0","17","0","0","0","0","21","64","8","85","0","0","0","8"
"경기도교육청","경기도교육청","경기도 평택시","S090000755","은혜고등학교","04","사립","N","","0","0","0","0","0","1","0","1","0","0","0","0","6","5","0","11","13","14","1","27","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","8","16","0","24","0","0","0","0","27","38","1","65","0","0","0","1"
"경기도교육청","경기도교육청","경기도 의정부시","S090000756","의정부고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","5","9","0","14","8","37","7","45","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","2","0","2","5","4","0","9","0","0","0","0","20","55","7","75","0","0","0","7"
"경기도교육청","경기도교육청","경기도 의정부시","S090000757","한국모빌리티고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","14","6","0","20","26","25","1","51","2","3","0","5","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","10","8","0","18","0","0","0","0","54","44","1","98","0","0","0","1"
