"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교장(남)","교장(여)","교장(휴직교원)","교장(계)","교감(남)","교감(여)","교감(휴직교원)","교감(계)","수석교사(남)","수석교사(여)","수석교사(휴직교원)","수석교사(계)","보직교사(남)","보직교사(여)","보직교사(휴직교원)","보직교사(계)","일반교사(남)","일반교사(여)","일반교사(휴직교원)","일반교사(계)","특수교사(남)","특수교사(여)","특수교사(휴직교원)","특수교사(계)","전문상담교사(남)","전문상담교사(여)","전문상담교사(휴직교원)","전문상담교사(계)","사서교사(남)","사서교사(여)","사서교사(휴직교원)","사서교사(계)","실기교사(남)","실기교사(여)","실기교사(휴직교원)","실기교사(계)","보건교사(남)","보건교사(여)","보건교사(휴직교원)","보건교사(계)","영양교사(남)","영양교사(여)","영양교사(휴직교원)","영양교사(계)","기간제교사(남)","기간제교사(여)","기간제교사(휴직교원)","기간제교사(계)","강사(남)","강사(여)","강사(휴직교원)","강사(계)","총계(남)","총계(여)","총계(휴직교원)","총계(계)","원어민강사(남)","원어민강사(여)","원어민강사(계)","휴직교원수"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000876","가평중학교","03","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","5","7","0","12","10","13","1","23","1","2","0","3","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","19","24","1","43","0","0","0","1"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000877","가평북중학교","03","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","1","1","0","2","3","6","1","9","1","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","0","0","0","0","8","9","1","17","0","0","0","1"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000878","설악중학교","03","공립","N","","0","0","0","0","1","0","0","1","0","0","0","0","2","3","0","5","2","11","1","13","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","5","18","1","23","0","0","0","1"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000879","조종중학교","03","공립","N","","0","0","0","0","1","0","0","1","0","0","0","0","3","2","0","5","4","7","0","11","1","0","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","2","1","0","3","0","0","0","0","11","12","1","23","0","0","0","1"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000880","청평중학교","03","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","4","2","0","6","4","8","0","12","0","1","0","1","0","1","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","9","15","0","24","0","0","0","0"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000944","가람중학교","03","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","3","6","0","9","3","9","5","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","11","0","12","0","0","0","0","7","29","6","36","0","0","0","6"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000946","고양중학교","03","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","2","6","0","8","3","35","4","38","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","2","11","0","13","0","0","0","0","8","56","4","64","0","0","0","4"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000947","능곡중학교","03","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","2","6","0","8","2","13","3","15","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","4","6","0","10","0","0","0","0","9","28","4","37","0","0","0","4"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000948","대화중학교","03","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","2","10","0","12","1","14","4","15","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","6","6","0","12","0","0","0","0","9","35","4","44","0","0","0","4"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000949","덕양중학교","03","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","3","2","0","5","3","8","1","11","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0","7","0","0","0","0","10","16","2","26","0","0","0","2"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000950","무원중학교","03","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","0","12","0","12","3","13","2","16","1","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","0","1","4","8","0","12","0","0","0","0","10","36","4","46","0","0","0","4"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000951","발산중학교","03","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","2","11","1","13","7","27","1","34","1","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","2","7","0","9","0","0","0","0","12","49","2","61","0","0","0","2"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000952","백마중학교","03","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","1","9","0","10","2","21","4","23","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","2","9","0","11","0","0","0","0","7","43","4","50","0","0","0","4"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000953","백석중학교","03","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","2","8","0","10","3","18","4","21","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","3","6","0","9","0","0","0","0","8","36","6","44","0","0","0","6"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000954","백신중학교","03","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","2","10","0","12","9","25","8","34","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","4","12","0","16","0","0","0","0","15","51","9","66","0","0","0","9"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000955","백양중학교","03","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","0","7","1","7","2","12","2","14","0","1","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","3","5","0","8","0","0","0","0","6","28","4","34","0","0","0","4"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000956","고양제일중학교","03","사립","N","","0","1","0","1","0","0","0","0","0","0","0","0","3","9","0","12","13","22","3","35","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","7","11","0","18","0","0","0","0","23","46","3","69","0","0","0","3"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000957","신능중학교","03","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","1","7","0","8","3","12","5","15","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","2","5","0","7","0","0","0","0","6","30","5","36","0","0","0","5"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000958","신일중학교","03","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","9","6","0","15","7","32","5","39","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","3","9","0","12","0","0","0","0","20","51","5","71","0","0","0","5"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000959","오마중학교","03","공립","N","","0","1","0","1","0","1","0","1","0","1","0","1","1","11","0","12","8","38","5","46","0","0","0","0","0","1","1","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","4","8","0","12","0","0","0","0","13","63","6","76","0","0","0","6"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000960","원당중학교","03","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","1","2","0","3","1","13","4","14","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","4","2","0","6","0","0","0","0","7","21","4","28","0","0","0","4"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000961","일산동중학교","03","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","4","8","0","12","3","23","3","26","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","1","5","0","6","0","0","0","0","9","40","3","49","0","0","0","3"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000962","일산중학교","03","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","1","8","0","9","5","11","2","16","0","1","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","2","6","0","8","0","0","0","0","9","29","3","38","0","0","0","3"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000963","장성중학교","03","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","2","11","1","13","3","11","2","14","1","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","2","7","0","9","0","0","0","0","9","33","3","42","0","0","0","3"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000964","저동중학교","03","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","4","8","0","12","2","11","2","13","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","2","9","0","11","0","0","0","0","10","31","2","41","0","0","0","2"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000965","정발중학교","03","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","7","5","0","12","4","38","9","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","6","11","0","17","0","0","0","0","17","57","9","74","0","0","0","9"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000966","중산중학교","03","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","2","7","0","9","3","14","6","17","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","3","11","0","14","0","0","0","0","9","37","6","46","0","0","0","6"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000967","지도중학교","03","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","4","8","0","12","5","15","2","20","0","1","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","6","0","7","0","0","0","0","11","33","3","44","0","0","0","3"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000969","한수중학교","03","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","7","5","0","12","7","27","6","34","0","2","0","2","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","7","7","0","14","0","0","0","0","23","43","6","66","0","0","0","6"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000970","행신중학교","03","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","3","6","0","9","3","17","5","20","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","3","6","0","9","0","0","0","0","10","32","5","42","0","0","0","5"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000971","호곡중학교","03","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","3","9","0","12","6","25","6","31","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","1","12","0","13","0","0","0","0","12","50","6","62","0","0","0","6"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000972","화수중학교","03","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","3","9","0","12","7","28","2","35","0","2","0","2","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","3","7","0","10","0","0","0","0","14","49","2","63","0","0","0","2"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000973","화정중학교","03","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","2","10","0","12","2","26","2","28","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","9","0","10","0","1","0","1","6","49","2","55","0","0","0","2"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001188","가림중학교","03","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","2","8","0","10","1","22","6","23","0","2","1","2","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","2","6","0","8","0","0","0","0","7","40","7","47","0","0","0","7"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001189","광남중학교","03","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","4","8","0","12","6","38","8","44","0","2","0","2","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","1","9","0","10","0","0","0","0","12","61","8","73","0","0","0","8"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001190","광명북중학교","03","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","2","9","0","11","3","16","1","19","2","2","1","4","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","3","0","4","0","0","0","0","9","33","2","42","0","0","0","2"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001191","하안북중학교","03","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","1","11","0","12","6","41","9","47","1","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","6","0","7","0","0","0","0","9","62","9","71","0","0","0","9"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001192","광명중학교","03","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","2","9","0","11","2","13","4","15","0","1","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","3","6","0","9","0","0","0","0","9","31","6","40","0","0","0","6"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001194","소하중학교","03","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","2","10","0","12","7","55","6","62","0","1","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","3","7","0","10","0","0","0","0","13","76","7","89","0","0","0","7"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001195","안서중학교","03","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","0","9","0","9","4","8","5","12","0","1","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","4","0","5","0","0","0","0","7","24","7","31","0","0","0","7"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001196","철산중학교","03","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","2","10","0","12","10","54","8","64","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","2","8","0","10","0","0","0","0","15","76","8","91","0","0","0","8"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001198","하안중학교","03","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","1","11","0","12","3","25","5","28","0","1","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","3","3","0","6","0","0","0","0","9","42","6","51","0","0","0","6"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001267","경안중학교","03","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","0","11","0","11","11","33","9","44","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","3","12","0","15","0","0","0","0","15","60","9","75","0","0","0","9"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001268","경화여자중학교","03","사립","N","","0","1","0","1","1","0","0","1","0","0","0","0","3","9","0","12","6","17","1","23","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","5","17","0","22","0","1","0","1","15","48","2","63","0","1","1","2"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001269","광수중학교","03","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","4","5","0","9","4","9","0","13","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","4","0","5","0","0","0","0","9","22","0","31","0","0","0","0"
