"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000881","가평마장초등학교","02","공립","N","","1","6","6","1","9","9","1","8","8","1","5","5","1","11","11","1","8","8","1","5","5","0","0","0","7","52","7.4","8","6.5"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000882","가평초등학교","02","공립","N","","4","94","23.5","4","100","25","5","112","22.4","5","122","24.4","5","119","23.8","5","124","24.8","2","9","4.5","0","0","0","30","680","22.7","38","17.9"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000885","대성초등학교","02","공립","N","","1","8","8","1","15","15","1","12","12","1","14","14","1","2","2","1","10","10","1","3","3","0","0","0","7","64","9.1","7","9.1"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000890","목동초등학교","02","공립","N","","1","4","4","1","5","5","1","7","7","1","9","9","1","10","10","1","2","2","1","3","3","0","0","0","7","40","5.7","8","5"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000892","목동초등학교명지분교장","02","공립","N","","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000895","미원초등학교","02","공립","N","","2","27","13.5","2","24","12","2","27","13.5","2","33","16.5","2","35","17.5","3","46","15.3","1","6","6","0","0","0","14","198","14.1","18","11"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000899","미원초등학교위곡분교장","02","공립","N","","1","5","5","1","1","1","1","3","3","0","0","0","1","8","8","1","3","3","1","3","3","0","0","0","6","23","3.8","7","3.3"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000900","미원초등학교장락분교장","02","공립","N","","0","0","0","1","4","4","1","3","3","1","3","3","0","0","0","1","5","5","0","0","0","0","0","0","4","15","3.8","5","3"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000901","방일초등학교","02","공립","N","","1","6","6","1","12","12","1","8","8","1","10","10","1","6","6","1","10","10","1","1","1","0","0","0","7","53","7.6","10","5.3"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000905","상면초등학교","02","공립","N","","1","5","5","1","7","7","1","6","6","1","4","4","1","4","4","1","7","7","0","0","0","0","0","0","6","33","5.5","7","4.7"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000906","상색초등학교","02","공립","N","","1","14","14","1","10","10","1","8","8","1","11","11","1","7","7","1","8","8","1","8","8","0","0","0","7","66","9.4","9","7.3"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000908","상천초등학교","02","공립","N","","1","4","4","1","5","5","1","12","12","1","6","6","1","8","8","1","8","8","0","0","0","0","0","0","6","43","7.2","7","6.1"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000910","연하초등학교","02","공립","N","","1","6","6","1","10","10","1","9","9","1","20","20","1","11","11","1","12","12","1","2","2","0","0","0","7","70","10","8","8.8"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000914","율길초등학교","02","공립","N","","1","2","2","1","12","12","1","9","9","1","12","12","1","13","13","1","8","8","0","0","0","0","0","0","6","56","9.3","7","8"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000916","조종초등학교","02","공립","N","","2","43","21.5","2","46","23","2","46","23","2","41","20.5","2","38","19","2","42","21","2","10","5","0","0","0","14","266","19","18","14.8"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000920","청평초등학교","02","공립","N","","2","26","13","2","35","17.5","2","45","22.5","2","42","21","2","29","14.5","3","51","17","2","8","4","1","1","1","16","237","14.8","20","11.9"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000974","가람초등학교","02","공립","N","","2","42","21","2","33","16.5","3","53","17.7","3","51","17","3","57","19","3","69","23","1","4","4","0","0","0","17","309","18.2","21","14.7"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000975","강선초등학교","02","공립","N","","3","61","20.3","3","78","26","3","74","24.7","4","97","24.3","4","104","26","4","86","21.5","1","7","7","0","0","0","22","507","23","27","18.8"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000976","고봉초등학교","02","공립","N","","2","34","17","2","40","20","3","58","19.3","3","63","21","3","62","20.7","3","62","20.7","1","4","4","0","0","0","17","323","19","19","17"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000977","고양백석초등학교","02","공립","N","","3","62","20.7","3","69","23","3","67","22.3","4","91","22.8","4","88","22","3","75","25","0","0","0","0","0","0","20","452","22.6","24","18.8"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000978","고양신일초등학교","02","공립","N","","4","88","22","5","107","21.4","5","124","24.8","7","165","23.6","7","178","25.4","7","169","24.1","0","0","0","0","0","0","35","831","23.7","42","19.8"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000979","고양용현초등학교","02","공립","N","","2","34","17","2","37","18.5","2","38","19","2","40","20","2","36","18","3","56","18.7","1","4","4","0","0","0","14","245","17.5","18","13.6"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000980","고양초등학교","02","공립","N","","2","35","17.5","2","48","24","2","47","23.5","2","48","24","3","66","22","3","65","21.7","2","13","6.5","0","0","0","16","322","20.1","20","16.1"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000981","고양화수초등학교","02","공립","N","","3","67","22.3","3","78","26","3","66","22","3","72","24","3","76","25.3","3","71","23.7","2","7","3.5","0","0","0","20","437","21.9","24","18.2"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000982","고양화정초등학교","02","공립","N","","5","109","21.8","6","141","23.5","7","173","24.7","7","183","26.1","6","160","26.7","8","187","23.4","1","2","2","0","0","0","40","955","23.9","47","20.3"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000983","금계초등학교","02","공립","N","","3","67","22.3","3","64","21.3","3","62","20.7","4","78","19.5","4","85","21.3","5","97","19.4","1","4","4","1","0","0","24","457","19","28","16.3"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000984","낙민초등학교","02","공립","N","","3","60","20","3","73","24.3","3","70","23.3","5","115","23","5","112","22.4","5","126","25.2","1","2","2","0","0","0","25","558","22.3","30","18.6"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000985","내유초등학교","02","공립","N","","3","64","21.3","4","92","23","5","121","24.2","6","133","22.2","6","134","22.3","5","124","24.8","3","14","4.7","0","0","0","32","682","21.3","38","17.9"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000986","냉천초등학교","02","공립","N","","2","37","18.5","2","41","20.5","2","51","25.5","3","60","20","3","57","19","3","59","19.7","2","11","5.5","0","0","0","17","316","18.6","21","15"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000987","능곡초등학교","02","공립","N","","4","87","21.8","5","108","21.6","5","108","21.6","4","101","25.3","4","95","23.8","4","91","22.8","2","8","4","0","0","0","28","598","21.4","35","17.1"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000988","대곡초등학교","02","공립","N","","1","9","9","1","9","9","1","9","9","1","11","11","1","16","16","1","12","12","1","3","3","0","0","0","7","69","9.9","9","7.7"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000989","대화초등학교","02","공립","N","","2","45","22.5","2","50","25","3","57","19","3","79","26.3","3","70","23.3","3","70","23.3","1","6","6","0","0","0","17","377","22.2","22","17.1"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000990","덕은초등학교","02","공립","N","","2","25","12.5","2","30","15","1","21","21","2","31","15.5","2","32","16","2","33","16.5","1","7","7","0","0","0","12","179","14.9","14","12.8"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000991","덕이초등학교","02","공립","N","","2","29","14.5","2","36","18","2","41","20.5","2","41","20.5","2","46","23","2","45","22.5","1","5","5","0","0","0","13","243","18.7","17","14.3"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000992","무원초등학교","02","공립","N","","4","83","20.8","4","82","20.5","5","128","25.6","4","100","25","4","100","25","4","102","25.5","1","4","4","0","0","0","26","599","23","31","19.3"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000993","문촌초등학교","02","공립","N","","2","33","16.5","2","34","17","2","30","15","2","50","25","2","49","24.5","3","64","21.3","2","10","5","0","0","0","15","270","18","20","13.5"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000994","문화초등학교","02","공립","N","","2","46","23","3","72","24","3","70","23.3","5","109","21.8","5","105","21","6","140","23.3","1","6","6","0","0","0","25","548","21.9","30","18.3"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000995","백마초등학교","02","공립","N","","3","52","17.3","3","52","17.3","3","60","20","4","84","21","4","103","25.8","4","103","25.8","2","8","4","0","0","0","23","462","20.1","27","17.1"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000998","백신초등학교","02","공립","N","","2","49","24.5","2","50","25","2","50","25","3","70","23.3","4","80","20","3","62","20.7","1","5","5","0","0","0","17","366","21.5","21","17.4"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000999","백양초등학교","02","공립","N","","1","20","20","1","21","21","2","29","14.5","1","23","23","2","38","19","2","35","17.5","1","4","4","0","0","0","10","170","17","12","14.2"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090001000","벽제초등학교","02","공립","N","","2","31","15.5","2","29","14.5","2","33","16.5","2","30","15","2","37","18.5","2","37","18.5","1","5","5","0","0","0","13","202","15.5","18","11.2"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090001001","삼송초등학교","02","공립","N","","5","116","23.2","4","99","24.8","5","121","24.2","6","139","23.2","6","143","23.8","7","163","23.3","1","6","6","0","0","0","34","787","23.1","40","19.7"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090001002","상탄초등학교","02","공립","N","","4","94","23.5","5","111","22.2","6","131","21.8","6","143","23.8","5","110","22","5","108","21.6","2","11","5.5","0","0","0","33","708","21.5","39","18.2"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090001003","성라초등학교","02","공립","N","","2","51","25.5","3","53","17.7","3","63","21","3","55","18.3","3","69","23","3","69","23","1","3","3","0","0","0","18","363","20.2","23","15.8"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090001004","성사초등학교","02","공립","N","","4","75","18.8","4","103","25.8","5","104","20.8","5","103","20.6","5","100","20","5","105","21","2","11","5.5","3","11","3.7","33","612","18.5","37","16.5"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090001005","성석초등학교","02","공립","N","","1","15","15","1","13","13","1","12","12","1","13","13","1","9","9","1","11","11","1","4","4","0","0","0","7","77","11","9","8.6"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090001006","성신초등학교","02","공립","N","","2","36","18","3","53","17.7","3","57","19","3","78","26","3","60","20","3","69","23","2","11","5.5","0","0","0","19","364","19.2","22","16.5"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090001007","성저초등학교","02","공립","N","","2","30","15","2","36","18","2","38","19","3","60","20","2","45","22.5","3","55","18.3","1","3","3","0","0","0","15","267","17.8","19","14.1"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090001008","소만초등학교","02","공립","N","","2","28","14","2","39","19.5","2","41","20.5","2","48","24","2","46","23","2","42","21","1","4","4","0","0","0","13","248","19.1","17","14.6"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090001009","송포초등학교","02","공립","N","","2","26","13","2","47","23.5","2","45","22.5","3","59","19.7","3","52","17.3","4","81","20.3","1","4","4","0","0","0","17","314","18.5","20","15.7"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090001010","일산은행초등학교","02","공립","N","","2","32","16","2","36","18","2","49","24.5","2","36","18","2","50","25","2","31","15.5","1","5","5","0","0","0","13","239","18.4","17","14.1"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090001011","신능초등학교","02","공립","N","","1","12","12","1","16","16","1","16","16","2","30","15","2","27","13.5","2","32","16","1","3","3","0","0","0","10","136","13.6","13","10.5"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090001012","신원초등학교","02","공립","N","","7","159","22.7","7","162","23.1","8","203","25.4","10","258","25.8","9","230","25.6","9","229","25.4","1","6","6","0","0","0","51","1247","24.5","60","20.8"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090001014","신촌초등학교","02","공립","N","","2","41","20.5","3","55","18.3","3","58","19.3","4","87","21.8","4","85","21.3","3","70","23.3","1","6","6","0","0","0","20","402","20.1","25","16.1"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090001015","안곡초등학교","02","공립","N","","2","42","21","2","45","22.5","3","64","21.3","4","78","19.5","3","66","22","3","64","21.3","1","6","6","0","0","0","18","365","20.3","22","16.6"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090001016","오마초등학교","02","공립","N","","7","181","25.9","7","184","26.3","8","210","26.3","9","231","25.7","9","215","23.9","8","207","25.9","1","5","5","0","0","0","49","1233","25.2","59","20.9"
