"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000876","가평중학교","03","공립","N","","6","158","26.3","7","172","24.6","7","170","24.3","2","7","3.5","1","1","1","23","508","22.1","38","13.4"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000877","가평북중학교","03","공립","N","","1","11","11","1","12","12","1","13","13","1","3","3","0","0","0","4","39","9.8","13","3"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000878","설악중학교","03","공립","N","","3","62","20.7","3","57","19","3","65","21.7","1","6","6","0","0","0","10","190","19","20","9.5"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000879","조종중학교","03","공립","N","","3","71","23.7","3","76","25.3","3","83","27.7","1","6","6","0","0","0","10","236","23.6","20","11.8"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000880","청평중학교","03","공립","N","","3","69","23","3","72","24","3","87","29","1","5","5","0","0","0","10","233","23.3","19","12.3"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000944","가람중학교","03","공립","N","","5","139","27.8","5","139","27.8","5","135","27","0","0","0","0","0","0","15","413","27.5","26","15.9"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000946","고양중학교","03","공립","N","","10","282","28.2","8","227","28.4","12","333","27.8","1","7","7","0","0","0","31","849","27.4","56","15.2"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000947","능곡중학교","03","공립","N","","5","119","23.8","5","138","27.6","6","147","24.5","0","0","0","0","0","0","16","404","25.3","28","14.4"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000948","대화중학교","03","공립","N","","5","133","26.6","6","185","30.8","7","188","26.9","0","0","0","0","0","0","18","506","28.1","32","15.8"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000949","덕양중학교","03","공립","N","","3","68","22.7","3","62","20.7","3","62","20.7","1","6","6","0","0","0","10","198","19.8","21","9.4"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000950","무원중학교","03","공립","N","","6","163","27.2","7","176","25.1","7","185","26.4","1","5","5","1","5","5","22","534","24.3","37","14.4"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000951","발산중학교","03","공립","N","","10","276","27.6","10","308","30.8","10","280","28","1","5","5","0","0","0","31","869","28","54","16.1"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000952","백마중학교","03","공립","N","","7","196","28","8","214","26.8","8","220","27.5","1","5","5","0","0","0","24","635","26.5","41","15.5"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000953","백석중학교","03","공립","N","","5","137","27.4","6","169","28.2","7","194","27.7","1","4","4","0","0","0","19","504","26.5","33","15.3"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000954","백신중학교","03","공립","N","","10","276","27.6","10","270","27","10","280","28","1","4","4","0","0","0","31","830","26.8","54","15.4"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000955","백양중학교","03","공립","N","","4","106","26.5","5","129","25.8","7","172","24.6","1","4","4","0","0","0","17","411","24.2","27","15.2"
