"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001281","곤지암초등학교","02","공립","N","","3","78","26","3","65","21.7","3","60","20","4","94","23.5","4","91","22.8","5","110","22","2","8","4","0","0","0","24","506","21.1","29","17.4"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001282","광남초등학교","02","공립","N","","8","204","25.5","7","168","24","6","153","25.5","8","203","25.4","7","168","24","7","181","25.9","2","12","6","1","3","3","46","1092","23.7","53","20.6"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001284","광주광명초등학교","02","공립","N","","9","282","31.3","8","256","32","8","231","28.9","8","258","32.3","8","237","29.6","6","195","32.5","1","12","12","0","0","0","48","1471","30.6","58","25.4"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001285","광주매곡초등학교","02","공립","N","","7","193","27.6","8","217","27.1","7","197","28.1","8","244","30.5","7","223","31.9","8","225","28.1","2","12","6","0","0","0","47","1311","27.9","53","24.7"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001286","광주초등학교","02","공립","N","","8","196","24.5","6","149","24.8","6","157","26.2","8","211","26.4","8","199","24.9","8","222","27.8","3","18","6","0","0","0","47","1152","24.5","56","20.6"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001288","광지원초등학교","02","공립","N","","1","14","14","1","11","11","1","8","8","1","8","8","1","8","8","1","7","7","1","5","5","0","0","0","7","61","8.7","8","7.6"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001289","남한산초등학교","02","공립","N","","1","22","22","1","14","14","1","15","15","1","21","21","1","12","12","1","15","15","0","0","0","0","0","0","6","99","16.5","7","14.1"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090001290","덕풍초등학교","02","공립","N","","4","101","25.3","4","89","22.3","3","68","22.7","4","88","22","3","76","25.3","4","100","25","1","4","4","0","0","0","23","526","22.9","26","20.2"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001291","도곡초등학교","02","공립","N","","7","171","24.4","7","184","26.3","6","159","26.5","7","192","27.4","8","203","25.4","7","185","26.4","1","6","6","0","0","0","43","1100","25.6","50","22"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001292","도궁초등학교","02","공립","N","","1","12","12","1","14","14","1","11","11","1","9","9","1","16","16","1","17","17","0","0","0","0","0","0","6","79","13.2","7","11.3"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001293","도수초등학교","02","공립","N","","4","98","24.5","5","113","22.6","4","93","23.3","5","119","23.8","5","127","25.4","4","97","24.3","1","7","7","0","0","0","28","654","23.4","32","20.4"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090001294","도심초등학교","02","공립","N","","2","57","28.5","3","61","20.3","2","57","28.5","3","75","25","3","76","25.3","4","95","23.8","1","6","6","0","0","0","18","427","23.7","21","20.3"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001295","도척초등학교","02","공립","N","","1","25","25","1","25","25","2","37","18.5","2","35","17.5","2","47","23.5","2","45","22.5","1","6","6","0","0","0","11","220","20","13","16.9"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090001296","동부초등학교","02","공립","N","","4","100","25","4","94","23.5","4","99","24.8","4","97","24.3","4","94","23.5","3","83","27.7","2","8","4","0","0","0","25","575","23","31","18.5"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001298","만선초등학교","02","공립","N","","1","6","6","1","12","12","1","10","10","1","19","19","1","11","11","1","9","9","1","3","3","0","0","0","7","70","10","8","8.8"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090001299","망월초등학교","02","공립","N","","11","327","29.7","9","271","30.1","10","304","30.4","12","346","28.8","10","297","29.7","10","288","28.8","1","8","8","0","0","0","63","1841","29.2","70","26.3"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001301","번천초등학교","02","공립","N","","1","19","19","1","13","13","1","20","20","1","15","15","1","10","10","1","13","13","0","0","0","0","0","0","6","90","15","7","12.9"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001302","분원초등학교","02","공립","N","","1","11","11","1","26","26","1","16","16","1","19","19","1","20","20","1","13","13","0","0","0","0","0","0","6","105","17.5","7","15"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090001305","산곡초등학교","02","공립","N","","1","7","7","1","19","19","1","10","10","1","21","21","1","11","11","1","17","17","0","0","0","0","0","0","6","85","14.2","7","12.1"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001306","삼리초등학교","02","공립","N","","4","95","23.8","4","87","21.8","4","90","22.5","4","90","22.5","4","93","23.3","5","111","22.2","2","12","6","0","0","0","27","578","21.4","32","18.1"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090001307","서부초등학교","02","공립","N","","1","15","15","1","8","8","1","12","12","1","6","6","1","5","5","1","8","8","1","6","6","0","0","0","7","60","8.6","8","7.5"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001308","선동초등학교","02","공립","N","","1","8","8","1","5","5","1","6","6","1","5","5","1","8","8","1","12","12","1","7","7","0","0","0","7","51","7.3","9","5.7"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090001309","신장초등학교","02","공립","N","","6","143","23.8","5","133","26.6","4","114","28.5","4","99","24.8","3","81","27","4","91","22.8","1","6","6","0","0","0","27","667","24.7","34","19.6"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001310","쌍령초등학교","02","공립","N","","2","55","27.5","3","66","22","4","86","21.5","4","94","23.5","4","88","22","4","99","24.8","1","3","3","0","0","0","22","491","22.3","27","18.2"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001311","오포초등학교","02","공립","N","","6","146","24.3","5","130","26","4","105","26.3","5","132","26.4","5","114","22.8","5","120","24","1","5","5","0","0","0","31","752","24.3","37","20.3"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090001312","창우초등학교","02","공립","N","","4","84","21","3","61","20.3","3","75","25","4","96","24","3","71","23.7","3","67","22.3","1","6","6","0","0","0","21","460","21.9","24","19.2"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001314","초월초등학교","02","공립","N","","1","23","23","1","24","24","1","25","25","2","35","17.5","2","39","19.5","2","34","17","1","5","5","0","0","0","10","185","18.5","11","16.8"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001315","탄벌초등학교","02","공립","N","","10","254","25.4","8","224","28","8","222","27.8","11","290","26.4","11","279","25.4","11","304","27.6","1","6","6","0","0","0","60","1579","26.3","71","22.2"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001316","태전초등학교","02","공립","N","","5","113","22.6","4","100","25","4","110","27.5","7","169","24.1","5","132","26.4","5","129","25.8","1","7","7","0","0","0","31","760","24.5","37","20.5"
