"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000876","가평중학교","03","공립","N","","7","187","26.7","7","171","24.4","6","162","27","2","8","4","0","0","0","22","528","24","38","13.9"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000877","가평북중학교","03","공립","N","","1","13","13","1","7","7","1","10","10","1","2","2","0","0","0","4","32","8","13","2.5"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000878","설악중학교","03","공립","N","","2","52","26","2","56","28","3","58","19.3","1","1","1","0","0","0","8","167","20.9","17","9.8"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000879","조종중학교","03","공립","N","","3","67","22.3","3","73","24.3","3","65","21.7","1","7","7","0","0","0","10","212","21.2","21","10.1"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000880","청평중학교","03","공립","N","","3","60","20","3","68","22.7","3","64","21.3","1","5","5","0","0","0","10","197","19.7","21","9.4"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000944","가람중학교","03","공립","N","","5","118","23.6","5","143","28.6","5","133","26.6","1","5","5","0","0","0","16","399","24.9","27","14.8"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000946","고양중학교","03","공립","N","","10","286","28.6","10","264","26.4","10","269","26.9","2","11","5.5","0","0","0","32","830","25.9","54","15.4"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000947","능곡중학교","03","공립","N","","6","134","22.3","6","152","25.3","5","119","23.8","2","7","3.5","0","0","0","19","412","21.7","33","12.5"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000948","대화중학교","03","공립","N","","7","175","25","6","147","24.5","5","132","26.4","0","0","0","0","0","0","18","454","25.2","32","14.2"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000949","덕양중학교","03","공립","N","","3","61","20.3","3","60","20","3","62","20.7","1","6","6","0","0","0","10","189","18.9","20","9.5"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000950","무원중학교","03","공립","N","","6","155","25.8","6","145","24.2","6","152","25.3","1","4","4","1","4","4","20","460","23","34","13.5"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000951","발산중학교","03","공립","N","","9","249","27.7","10","277","27.7","10","272","27.2","1","5","5","0","0","0","30","803","26.8","52","15.4"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000952","백마중학교","03","공립","N","","7","187","26.7","8","200","25","7","191","27.3","1","4","4","0","0","0","23","582","25.3","40","14.6"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000953","백석중학교","03","공립","N","","5","121","24.2","5","143","28.6","5","133","26.6","1","3","3","0","0","0","16","400","25","27","14.8"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000954","백신중학교","03","공립","N","","10","280","28","10","279","27.9","10","274","27.4","1","2","2","0","0","0","31","835","26.9","54","15.5"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000955","백양중학교","03","공립","N","","5","119","23.8","4","110","27.5","4","103","25.8","1","5","5","0","0","0","14","337","24.1","24","14"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000956","고양제일중학교","03","사립","N","","10","265","26.5","11","271","24.6","11","286","26","0","0","0","0","0","0","32","822","25.7","57","14.4"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000957","신능중학교","03","공립","N","","4","83","20.8","4","104","26","4","93","23.3","2","8","4","0","0","0","14","288","20.6","23","12.5"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000958","신일중학교","03","공립","N","","10","281","28.1","10","275","27.5","11","304","27.6","1","6","6","0","0","0","32","866","27.1","55","15.7"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000959","오마중학교","03","공립","N","","11","304","27.6","11","306","27.8","11","310","28.2","0","0","0","0","0","0","33","920","27.9","59","15.6"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000960","원당중학교","03","공립","N","","3","57","19","3","58","19.3","3","58","19.3","1","2","2","0","0","0","10","175","17.5","19","9.2"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000961","일산동중학교","03","공립","N","","8","220","27.5","7","183","26.1","7","191","27.3","2","11","5.5","0","0","0","24","605","25.2","41","14.8"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000962","일산중학교","03","공립","N","","6","133","22.2","6","152","25.3","5","129","25.8","1","4","4","0","0","0","18","418","23.2","31","13.5"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000963","장성중학교","03","공립","N","","5","114","22.8","5","137","27.4","5","133","26.6","2","11","5.5","0","0","0","17","395","23.2","28","14.1"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000964","저동중학교","03","공립","N","","6","145","24.2","6","161","26.8","6","146","24.3","1","7","7","0","0","0","19","459","24.2","34","13.5"
