"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000876","가평중학교","03","공립","N","","7","181","25.9","7","187","26.7","7","176","25.1","2","7","3.5","0","0","0","23","551","24","40","13.8"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000877","가평북중학교","03","공립","N","","1","14","14","1","13","13","1","9","9","1","2","2","0","0","0","4","38","9.5","14","2.7"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000878","설악중학교","03","공립","N","","3","61","20.3","2","49","24.5","2","57","28.5","1","4","4","0","0","0","8","171","21.4","18","9.5"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000879","조종중학교","03","공립","N","","3","85","28.3","3","60","20","3","70","23.3","1","7","7","0","0","0","10","222","22.2","21","10.6"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000880","청평중학교","03","공립","N","","3","53","17.7","3","60","20","3","69","23","1","3","3","0","0","0","10","185","18.5","19","9.7"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000944","가람중학교","03","공립","N","","5","125","25","5","112","22.4","5","138","27.6","1","3","3","0","0","0","16","378","23.6","28","13.5"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000946","고양중학교","03","공립","N","","10","278","27.8","10","274","27.4","10","259","25.9","2","12","6","0","0","0","32","823","25.7","51","16.1"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000947","능곡중학교","03","공립","N","","5","120","24","6","132","22","6","148","24.7","2","11","5.5","0","0","0","19","411","21.6","32","12.8"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000948","대화중학교","03","공립","N","","7","197","28.1","7","173","24.7","5","139","27.8","0","0","0","0","0","0","19","509","26.8","33","15.4"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000949","덕양중학교","03","공립","N","","3","59","19.7","3","55","18.3","3","54","18","1","7","7","0","0","0","10","175","17.5","22","8"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000950","무원중학교","03","공립","N","","6","147","24.5","6","152","25.3","6","147","24.5","1","5","5","1","5","5","20","456","22.8","33","13.8"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000951","발산중학교","03","공립","N","","9","253","28.1","9","249","27.7","10","277","27.7","1","6","6","0","0","0","29","785","27.1","51","15.4"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000952","백마중학교","03","공립","N","","7","196","28","7","190","27.1","8","207","25.9","1","5","5","0","0","0","23","598","26","40","15"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000953","백석중학교","03","공립","N","","5","136","27.2","5","114","22.8","5","137","27.4","1","3","3","0","0","0","16","390","24.4","27","14.4"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000954","백신중학교","03","공립","N","","10","278","27.8","10","276","27.6","10","278","27.8","1","3","3","0","0","0","31","835","26.9","55","15.2"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000955","백양중학교","03","공립","N","","5","124","24.8","5","120","24","4","112","28","1","5","5","0","0","0","15","361","24.1","26","13.9"
