"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"경기도교육청","경기도화성오산교육지원청","경기도 오산시","S090005832","문시중학교","03","공립","N","","13","463","35.6","10","353","35.3","10","349","34.9","2","11","5.5","0","0","0","35","1176","33.6","61","19.3"
"경기도교육청","경기도성남교육지원청","경기도 성남시 분당구","S090005834","삼평중학교","03","공립","N","","7","204","29.1","5","150","30","6","170","28.3","1","6","6","0","0","0","19","530","27.9","35","15.1"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090005857","덕이중학교","03","공립","N","","12","336","28","11","304","27.6","12","320","26.7","1","4","4","0","0","0","36","964","26.8","63","15.3"
"경기도교육청","경기도안성교육지원청","경기도 안성시","S090005859","만정중학교","03","공립","N","","10","322","32.2","9","277","30.8","10","322","32.2","1","6","6","0","0","0","30","927","30.9","52","17.8"
"경기도교육청","경기도용인교육지원청","경기도 용인시 기흥구","S090005861","상하중학교","03","공립","N","","5","122","24.4","4","111","27.8","6","150","25","0","0","0","0","0","0","15","383","25.5","26","14.7"
"경기도교육청","경기도용인교육지원청","경기도 용인시 기흥구","S090005863","서천중학교","03","공립","N","","11","274","24.9","9","247","27.4","10","255","25.5","2","8","4","0","0","0","32","784","24.5","55","14.3"
"경기도교육청","경기도파주교육지원청","경기도 파주시","S090005865","선유중학교","03","공립","N","","7","201","28.7","7","190","27.1","6","171","28.5","2","7","3.5","0","0","0","22","569","25.9","37","15.4"
"경기도교육청","경기도용인교육지원청","경기도 용인시 수지구","S090005868","성서중학교","03","공립","N","","10","320","32","9","284","31.6","10","317","31.7","1","5","5","0","0","0","30","926","30.9","52","17.8"
"경기도교육청","경기도화성오산교육지원청","","S090005875","예당중학교","03","공립","N","","8","259","32.4","8","261","32.6","8","272","34","1","6","6","0","0","0","25","798","31.9","43","18.6"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090005876","신현중학교","03","공립","N","","10","324","32.4","10","278","27.8","10","283","28.3","1","5","5","0","0","0","31","890","28.7","55","16.2"
"경기도교육청","경기도파주교육지원청","경기도 파주시","S090005877","한가람중학교","03","공립","N","","9","313","34.8","9","306","34","10","322","32.2","1","5","5","0","0","0","29","946","32.6","50","18.9"
"경기도교육청","경기도수원교육지원청","경기도 수원시 영통구","S090005878","광교중학교","03","공립","N","","6","188","31.3","5","148","29.6","5","161","32.2","0","0","0","0","0","0","16","497","31.1","28","17.8"
"경기도교육청","경기도수원교육지원청","경기도 수원시 영통구","S090005881","이의중학교","03","공립","N","","7","200","28.6","5","130","26","6","159","26.5","1","4","4","0","0","0","19","493","25.9","32","15.4"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090005884","푸른솔중학교","03","공립","N","","11","368","33.5","10","334","33.4","10","331","33.1","1","7","7","0","0","0","32","1040","32.5","56","18.6"
"경기도교육청","경기도평택교육지원청","경기도 평택시","S090005887","청옥중학교","03","공립","N","","14","422","30.1","11","315","28.6","12","352","29.3","2","10","5","0","0","0","39","1099","28.2","67","16.4"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090005889","초월중학교","03","공립","N","","13","378","29.1","12","360","30","12","341","28.4","2","12","6","0","0","0","39","1091","28","68","16"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090005911","운양중학교","03","공립","N","","12","404","33.7","11","366","33.3","11","387","35.2","1","9","9","0","0","0","35","1166","33.3","63","18.5"
